	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[NO-BLAST]	mtb_smORF234_2614188_2614391_plus	---NA---	67											
true	[BLASTED]	mtb_smORF235_2626350_2626577_plus	Uncharacterised protein	75	9	4.96195E-33	88.12								
true	[BLASTED]	mtb_smORF236_2713887_2714078_plus	predicted protein	63	2	2.8203E-37	100.0								
true	[NO-BLAST]	mtb_smORF237_2732871_2732933_plus	---NA---	20											
true	[BLASTED]	mtb_smORF238_2775483_2775632_plus	Uncharacterised protein	49	4	6.61068E-26	100.0								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF239_2786232_2786519_plus	Conserved exported protein of uncharacterised function	95	7	7.8624E-50	92.47	1	C:GO:0016020	C:membrane					
true	[BLASTED]	mtb_smORF240_2881845_2882147_plus	Protein of uncharacterised function (DUF2652)	100	20	1.08474E-67	99.8								
true	[NO-BLAST]	mtb_smORF241_2969127_2969306_plus	---NA---	59											
true	[BLASTED]	mtb_smORF242_2969355_2969537_plus	hypothetical protein BN9982_800014	60	1	8.89054E-34	98.33								
true	[BLASTED]	mtb_smORF243_3053589_3053855_plus	hypothetical protein MT2810	88	6	3.10396E-35	99.43								
true	[BLASTED]	mtb_smORF244_3357378_3357554_plus	Uncharacterised protein	58	18	5.20834E-21	99.33								
true	[BLASTED]	mtb_smORF245_3394842_3395126_plus	Uncharacterised protein	94	3	3.31147E-51	99.28								
true	[BLASTED]	mtb_smORF246_3421278_3421430_plus	putative secreted protein	50	9	1.16059E-13	95.11								
true	[NO-BLAST]	mtb_smORF247_3421500_3421640_plus	---NA---	46											
true	[BLASTED]	mtb_smORF248_3486336_3486512_plus	hypothetical protein	58	1	8.75759E-7	100.0								
true	[BLASTED]	mtb_smORF249_3494538_3494783_plus	pyridoxamine 5'-phosphate oxidase family protein	81	20	2.89409E-16	73.58								
true	[BLASTED]	mtb_smORF250_3547335_3547613_plus	Uncharacterised protein	92	2	1.66452E-58	98.86								
true	[BLASTED]	mtb_smORF251_3556749_3556973_plus	Uncharacterised protein	74	2	1.0035E-27	100.0								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF252_3593562_3593852_plus	acetyltransferase	96	20	1.21943E-48	99.58	4	P:GO:0032918; F:GO:0004145; F:GO:0019809; C:GO:0005737	P:spermidine acetylation; F:diamine N-acetyltransferase activity; F:spermidine binding; C:cytoplasm	EC:2.3.1.57	Diamine N-acetyltransferase			
true	[BLASTED]	mtb_smORF253_3640275_3640493_plus	predicted protein	72	20	2.67185E-46	75.68								
true	[BLASTED]	mtb_smORF254_3661107_3661241_plus	hypothetical protein MT3378	44	1	3.65242E-22	100.0								
true	[NO-BLAST]	mtb_smORF255_3700344_3700643_plus	---NA---	99											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF256_3841347_3841610_plus	histone acetyltransferase	87	20	1.01155E-56	98.68	8	P:GO:0006338; P:GO:0044068; F:GO:0003682; F:GO:0010484; F:GO:0042393; C:GO:0005576; C:GO:0030430; C:GO:0042025	P:chromatin remodeling; P:symbiont-mediated perturbation of host cellular process; F:chromatin binding; F:histone H3 acetyltransferase activity; F:histone binding; C:extracellular region; C:host cell cytoplasm; C:host cell nucleus	EC:2.3.1.48	Histone acetyltransferase			
true	[NO-BLAST]	mtb_smORF257_3849735_3849797_plus	---NA---	20											
true	[NO-BLAST]	mtb_smORF258_3874875_3875063_plus	---NA---	62											
true	[NO-BLAST]	mtb_smORF259_3892986_3893186_plus	---NA---	66											
true	[NO-BLAST]	mtb_smORF260_3906912_3907121_plus	---NA---	69											
true	[BLASTED]	mtb_smORF261_4018101_4018274_plus	Uncharacterised protein	57	3	9.77188E-31	100.0								
true	[BLASTED]	mtb_smORF262_4075560_4075682_plus	transmembrane protein	40	5	3.8321E-20	99.5								
true	[NO-BLAST]	mtb_smORF263_4100832_4101059_plus	---NA---	75												
true	[BLASTED]	mtb_smORF264_4211856_4212122_plus	Uncharacterised protein	88	2	7.18077E-39	91.78								
true	[NO-BLAST]	mtb_smORF265_4288068_4288283_plus	---NA---	71											
true	[BLASTED]	mtb_smORF266_4310811_4311032_plus	MULTISPECIES: hypothetical protein	73	20	5.31985E-45	98.56								
true	[BLASTED]	mtb_smORF267_4317432_4317602_plus	hypothetical protein CAB90_04306	56	1	8.46551E-33	100.0								
true	[NO-BLAST]	mtb_smORF268_4329555_4329818_plus	---NA---	87											
true	[BLASTED]	mtb_smORF269_4329834_4330067_plus	hypothetical protein BN9982_690009	77	1	6.02987E-49	100.0								
true	[BLASTED]	mtb_smORF270_4410873_4411166_plus	50S ribosomal protein L34	97	6	2.18437E-44	75.96								
true	[BLASTED]	mtb_smORF271_4405167_4405379_-	Uncharacterised protein	70	1	2.62975E-42	100.0								
true	[NO-BLAST]	mtb_smORF272_4336374_4336439_-	---NA---	21											
true	[BLASTED]	mtb_smORF273_4323384_4323542_-	Uncharacterised protein	52	3	1.16688E-28	98.61								
true	[NO-BLAST]	mtb_smORF274_4316550_4316720_-	---NA---	56											
true	[NO-BLAST]	mtb_smORF275_4287912_4288190_-	---NA---	92											
true	[NO-BLAST]	mtb_smORF276_4281483_4281662_-	---NA---	59											
true	[BLASTED]	mtb_smORF277_4266759_4267001_-	Uncharacterised protein	80	3	1.70682E-36	100.0								
true	[NO-BLAST]	mtb_smORF278_4218675_4218977_-	---NA---	100											
true	[NO-BLAST]	mtb_smORF279_4169397_4169612_-	---NA---	71											
true	[BLASTED]	mtb_smORF280_4077711_4077884_-	TetR/AcrR family transcriptional regulator	57	2	2.46999E-18	94.34								
true	[BLASTED]	mtb_smORF281_3926334_3926630_-	Uncharacterised protein	98	3	1.65428E-61	99.66								
true	[BLASTED, MAPPED]	mtb_smORF282_3892131_3892313_-	alpha/beta hydrolase	60	20	6.53626E-34	100.0	2	F:GO:0003824; F:GO:0016787	F:catalytic activity; F:hydrolase activity					
true	[NO-BLAST]	mtb_smORF283_3875853_3876068_-	---NA---	71											
true	[BLASTED]	mtb_smORF284_3849024_3849188_-	Transposase	54	20	9.9821E-30	98.77								
true	[NO-BLAST]	mtb_smORF285_3834783_3834968_-	---NA---	61											
true	[BLASTED]	mtb_smORF286_3755328_3755507_-	transposase	59	20	6.87559E-35	99.15								
true	[NO-BLAST]	mtb_smORF287_3742881_3743039_-	---NA---	52											
true	[BLASTED]	mtb_smORF288_3642963_3643178_-	conserved hypothetical protein	71	2	9.43719E-30	97.5								
true	[BLASTED]	mtb_smORF289_3558798_3558977_-	predicted protein	59	6	1.07429E-6	100.0								
true	[BLASTED]	mtb_smORF290_3551046_3551282_-	Uncharacterised protein	78	6	1.18913E-33	88.05								
true	[NO-BLAST]	mtb_smORF291_3550122_3550337_-	---NA---	71											
true	[BLASTED]	mtb_smORF292_3511314_3511505_-	Uncharacterised protein	63	1	3.6149E-34	100.0								
true	[BLASTED]	mtb_smORF293_3414936_3415118_-	hypothetical protein DSI80_14455, partial	60	8	2.31073E-36	99.79								
true	[BLASTED]	mtb_smORF294_3378495_3378662_-	PPE family protein	55	20	5.43345E-19	98.63								
true	[BLASTED]	mtb_smORF295_3376749_3377036_-	PPE family protein	95	9	6.28663E-50	98.78								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF296_3310608_3310820_-	putative glycosyl transferase	70	3	2.06893E-37	96.58	2	P:GO:0009058; F:GO:0050511	P:biosynthetic process; F:undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity	EC:2.4.1.227	Undecaprenyldiphospho-muramoylpentapeptide beta-N-			
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF297_3310272_3310379_-	GDP-L-fucose synthase	35	20	2.54299E-15	82.2	1	F:GO:0016757	F:glycosyltransferase activity	EC:2.4	Glycosyltransferases			
true	[NO-BLAST]	mtb_smORF298_3241926_3242057_-	---NA---	43											
true	[BLASTED]	mtb_smORF299_3187503_3187763_-	Uncharacterised protein	86	1	3.94169E-38	100.0								
true	[BLASTED]	mtb_smORF300_3167964_3168116_-	hypothetical protein I552_4634	50	1	2.03262E-6	73.47								
true	[BLASTED]	mtb_smORF301_3123537_3123692_-	Putative CRISPR-associated RNAse Cas2	51	1	3.81064E-15	89.74								
true	[NO-BLAST]	mtb_smORF302_3119097_3119228_-	---NA---	43											
true	[NO-BLAST]	mtb_smORF303_2982054_2982338_-	---NA---	94											
true	[BLASTED]	mtb_smORF304_2949342_2949599_-	acyl-[acyl-carrier protein] desaturase desA1	85	1	7.64835E-6	100.0								
true	[NO-BLAST]	mtb_smORF305_2882070_2882189_-	---NA---	39											
true	[BLASTED]	mtb_smORF306_2850843_2851067_-	hypothetical protein	74	1	1.15755E-26	100.0								
true	[NO-BLAST]	mtb_smORF307_2692104_2692337_-	---NA---	77											
true	[BLASTED]	mtb_smORF308_2680008_2680226_-	hypothetical protein BN9982_240015	72	1	4.36822E-44	100.0								
true	[BLASTED]	mtb_smORF309_2637165_2637443_-	Uncharacterised protein	92	20	1.1309E-59	98.78								
true	[BLASTED]	mtb_smORF310_2632362_2632565_-	Uncharacterised protein	67	1	7.71181E-29	100.0								
true	[BLASTED]	mtb_smORF311_2614068_2614352_-	Uncharacterised protein	94	6	1.08317E-61	98.23								
true	[NO-BLAST]	mtb_smORF312_2582760_2582975_-		71											
true	[BLASTED]	mtb_smORF313_2555925_2556146_-	Uncharacterised protein	73	20	2.48004E-45	98.09								
true	[BLASTED]	mtb_smORF314_2447991_2448221_-	Uncharacterised protein	76	2	1.11015E-27	99.34								
true	[BLASTED]	mtb_smORF315_2367111_2367410_-	PPE family protein	99	3	1.4023E-39	97.14								
true	[BLASTED]	mtb_smORF316_2365230_2365466_-	MarR family transcriptional regulator	78	6	9.1592E-5	71.14								
true	[BLASTED]	mtb_smORF317_2357907_2358206_-	PE family protein	99	8	2.22352E-21	98.23								
true	[BLASTED]	mtb_smORF318_2357535_2357693_-	Uncharacterised protein	52	7	9.88523E-27	99.73								
true	[BLASTED]	mtb_smORF319_2343960_2344172_-	Uncharacterised protein	70	1	1.68813E-29	100.0								
true	[BLASTED]	mtb_smORF320_2307009_2307239_-	polyketide synthase	76	2	5.74975E-28	95.16								
true	[BLASTED]	mtb_smORF321_2233881_2234051_-	dehydrogenase	56	20	1.57936E-19	99.42								
true	[BLASTED]	mtb_smORF322_2228655_2228828_-	LysR family transcriptional regulator	57	2	3.25524E-29	83.33								
true	[BLASTED]	mtb_smORF323_2198418_2198600_-	MULTISPECIES: hypothetical protein	60	16	3.79782E-22	98.23								
true	[BLASTED]	mtb_smORF324_2152953_2153174_-	Uncharacterised protein	73	8	1.80435E-43	99.71								
true	[NO-BLAST]	mtb_smORF325_2150826_2150999_-	---NA---	57											
true	[BLASTED]	mtb_smORF326_1852071_1852304_-	hypothetical protein IU15_06080	77	1	7.31283E-9	79.25								
true	[NO-BLAST]	mtb_smORF327_1764816_1765025_-	---NA---	69											
true	[NO-BLAST]	mtb_smORF328_1728402_1728608_-	---NA---	68											
true	[BLASTED]	mtb_smORF329_1710681_1710890_-	Uncharacterised protein	69	1	7.14449E-41	100.0								
true	[BLASTED]	mtb_smORF330_1696398_1696574_-	class I SAM-dependent methyltransferase	58	20	3.34217E-33	89.65								
true	[BLASTED]	mtb_smORF331_1692708_1692989_-	hypothetical protein	93	1	1.60361E-45	100.0								
true	[BLASTED]	mtb_smORF332_1563486_1563707_-	hypothetical protein MRGA327_08695	73	8	1.5782E-44	99.66								
true	[NO-BLAST]	mtb_smORF333_1539177_1539389_-	---NA---	70											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF334_1517304_1517492_-	acyl-CoA dehydrogenase family protein	62	20	4.32441E-35	86.41	3	P:GO:0006552; F:GO:0008470; F:GO:0043958	P:L-leucine catabolic process; F:isovaleryl-CoA dehydrogenase activity; F:acryloyl-CoA reductase (NADH) activity	EC:1.3.1.95; EC:1.3.8.4; EC:1.3.8.1	Acryloyl-CoA reductase (NADH); Isovaleryl-CoA dehydrogenase; Short-chain acyl-CoA dehydrogenase			
true	[BLASTED, MAPPED]	mtb_smORF335_1476507_1476719_-	hypothetical protein DFS55_17855	70	20	1.36615E-29	65.24	1	C:GO:0016020	C:membrane					
true	[BLASTED]	mtb_smORF336_1417395_1417646_-	Hypothetical protein ERS027665_01283	83	7	5.13948E-55	99.83								
true	[NO-BLAST]	mtb_smORF337_1384146_1384337_-	---NA---	63											
true	[BLASTED]	mtb_smORF338_1340601_1340828_-	Uncharacterised protein	75	9	2.95324E-34	88.23								
true	[BLASTED]	mtb_smORF339_1272036_1272167_-	Uncharacterised protein	43	20	5.1122E-22	98.6											
true	[NO-BLAST]	mtb_smORF340_1180509_1180763_-	---NA---	84											
true	[BLASTED]	mtb_smORF341_1176978_1177262_-	Uncharacterised protein	94	2	2.44977E-6	77.82								
true	[BLASTED]	mtb_smORF342_1163793_1164014_-	hypothetical protein CAB90_01187	73	2	2.89099E-44	95.65								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF343_1114173_1114382_-	methyltransferase	69	20	6.55975E-43	99.06	2	P:GO:0032259; F:GO:0008168	P:methylation; F:methyltransferase activity	EC:2.1.1	Transferring one-carbon groups			
true	[BLASTED]	mtb_smORF344_1073823_1074104_-	Uncharacterised protein	93	1	1.42584E-47	100.0								
true	[BLASTED]	mtb_smORF345_1057173_1057391_-	secreted antigen 85-C FbpC_2	72	5	7.52837E-40	100.0								
true	[BLASTED]	mtb_smORF346_1024017_1024280_-	Uncharacterised protein	87	2	1.55573E-54	100.0								
true	[NO-BLAST]	mtb_smORF347_986022_986270_-	---NA---	82											
true	[BLASTED]	mtb_smORF348_948573_948773_-	Uncharacterized protein BCGR_0947	66	1	2.54589E-38	100.0								
true	[NO-BLAST]	mtb_smORF349_944589_944888_-	---NA---	99											
true	[BLASTED, MAPPED]	mtb_smORF350_934293_934481_-	CocE/NonD family hydrolase	62	20	7.89497E-24	66.19	2	F:GO:0008239; F:GO:0016787	F:dipeptidyl-peptidase activity; F:hydrolase activity					
true	[NO-BLAST]	mtb_smORF351_874470_874658_-	---NA---	62											
true	[NO-BLAST]	mtb_smORF352_835059_835205_-	---NA---	48											
true	[NO-BLAST]	mtb_smORF353_759129_759299_-	---NA---	56											
true	[BLASTED]	mtb_smORF354_718137_718388_-	Uncharacterised protein	83	1	2.11573E-7	74.36								
true	[NO-BLAST]	mtb_smORF355_710769_711065_-	---NA---	98											
true	[BLASTED]	mtb_smORF356_704475_704672_-	Uncharacterised protein	65	16	1.53342E-40	90.22								
true	[BLASTED]	mtb_smORF357_688293_688538_-	Uncharacterised protein	81	1	2.47599E-47	100.0								
true	[NO-BLAST]	mtb_smORF358_653820_653876_-	---NA---	18											
true	[NO-BLAST]	mtb_smORF359_612216_612362_-	---NA---	48											
true	[NO-BLAST]	mtb_smORF360_610935_611051_-	---NA---	38											
true	[BLASTED]	mtb_smORF361_551580_551879_-	Uncharacterized protein conserved in bacteria	99	1	1.78927E-18	100.0								
true	[NO-BLAST]	mtb_smORF362_476250_476477_-	---NA---	75											
true	[NO-BLAST]	mtb_smORF363_289002_289172_-	---NA---	56											
true	[NO-BLAST]	mtb_smORF364_274710_274862_-	---NA---	50											
true	[NO-BLAST]	mtb_smORF365_258420_258656_-	---NA---	78											
true	[BLASTED]	mtb_smORF366_258123_258383_-	butyryl-CoA dehydrogenase	86	1	1.38103E-26	87.5								
true	[BLASTED]	mtb_smORF367_230466_230765_-	Uncharacterised protein	99	6	4.77251E-65	96.43								
true	[BLASTED]	mtb_smORF368_156399_156680_-	Secreted antigen 85-C FbpC (85C) (antigen 85 complex C) (Ag58C) (mycolyl transferase 85C) (fibronectin-binding protein C)	93	1	3.77417E-19	100.0								
true	[BLASTED]	mtb_smORF369_65400_65687_-	Uncharacterised protein	95	19	4.28859E-51	99.25								
true	[BLASTED]	mtb_smORF370_57930_58211_-	Uncharacterised protein	93	1	1.75956E-59	100.0								
true	[BLASTED]	mtb_smORF371_31824_31967_-	Uncharacterised protein	47	20	1.86484E-24	96.8								
true	[BLASTED]	mtb_smORF372_12360_12569_-	Uncharacterised protein	69	1	2.18145E-41	100.0								
true	[BLASTED]	mtb_smORF373_1713_1889_-	Uncharacterised protein	58	2	4.44725E-33	100.0								
true	[BLASTED]	mtb_smORF374_4321277_4321486_-	Uncharacterised protein	69	4	3.83585E-40	95.83								
true	[BLASTED]	mtb_smORF375_4320254_4320433_-	Uncharacterised protein	59	20	1.0341E-33	98.83								
true	[BLASTED]	mtb_smORF376_4319855_4319947_-	Uncharacterised protein	30	2	1.33644E-11	100.0								
true	[BLASTED]	mtb_smORF377_4317521_4317652_-	Transposase (fragment)	43	3	3.26875E-12	100.0								
true	[BLASTED, MAPPED]	mtb_smORF378_4278185_4278301_-	twitching motility protein PilT	38	7	4.97099E-17	89.28	6	P:GO:0035821; F:GO:0000287; F:GO:0004518; F:GO:0004540; F:GO:0046872; F:GO:0090729	P:modulation of process of another organism; F:magnesium ion binding; F:nuclease activity; F:RNA nuclease activity; F:metal ion binding; F:toxin activity					
true	[BLASTED]	mtb_smORF379_4205516_4205779_-	Uncharacterised protein	87	4	4.25286E-36	87.49								
true	[BLASTED]	mtb_smORF380_4190276_4190575_-	PPE family protein	99	2	1.98277E-22	100.0								
true	[NO-BLAST]	mtb_smORF381_4172792_4173025_-	---NA---	77											
true	[BLASTED]	mtb_smORF382_3987248_3987463_-	short chain dehydrogenase	71	1	1.33862E-32	100.0								
true	[BLASTED]	mtb_smORF383_3950609_3950824_-	Uncharacterised protein	71	13	1.53483E-42	99.78								
true	[NO-BLAST]	mtb_smORF384_3939290_3939511_-	---NA---	73											
true	[BLASTED]	mtb_smORF385_3930815_3931006_-	Uncharacterised protein	63	5	4.09728E-38	100.0								
true	[BLASTED]	mtb_smORF386_3905702_3905800_-	Uncharacterised protein	32	1	2.01182E-13	100.0								
true	[BLASTED]	mtb_smORF387_3880013_3880189_-	Uncharacterised protein	58	2	4.19669E-34	97.83								
true	[BLASTED]	mtb_smORF388_3846995_3847231_-	transposase	78	1	9.81456E-37	97.44								
true	[BLASTED]	mtb_smORF389_3846053_3846271_-	integrase	72	20	4.37699E-31	98.81								
true	[BLASTED]	mtb_smORF390_3842069_3842305_-	transposase	78	1	1.56938E-38	100.0								
true	[BLASTED]	mtb_smORF391_3755234_3755524_-	hypothetical protein MTBK_35390	96	3	4.63245E-20	100.0								
true	[BLASTED]	mtb_smORF392_3642890_3643087_-	hypothetical protein, partial	65	2	1.2473E-21	86.67								
true	[NO-BLAST]	mtb_smORF393_3600602_3600817_-	---NA---	71											
true	[NO-BLAST]	mtb_smORF394_3548867_3549085_-	---NA---	72											
true	[NO-BLAST]	mtb_smORF395_3521960_3522079_-	---NA---	39											
true	[BLASTED]	mtb_smORF396_3494330_3494539_-	PPE family protein	69	5	1.92588E-44	89.28								
true	[BLASTED]	mtb_smORF397_3493538_3493804_-	hypothetical protein	88	2	9.58338E-38	97.25								
true	[BLASTED]	mtb_smORF398_3491702_3491866_-	Uncharacterised protein	54	20	6.69147E-19	90.74								
true	[NO-BLAST]	mtb_smORF399_3480641_3480865_-	---NA---	74											
true	[BLASTED]	mtb_smORF400_3457769_3458071_-	Uncharacterised protein	100	20	3.84742E-66	99.2								
true	[BLASTED]	mtb_smORF401_3350990_3351262_-	2-hydroxyhepta-2%2C4-diene-1%2C7-dioate isomerase	90	20	5.47812E-21	92.44								
true	[NO-BLAST]	mtb_smORF402_3276170_3276334_-	---NA---	54											
true	[NO-BLAST]	mtb_smORF403_3174824_3175090_-	---NA---	88											
true	[BLASTED]	mtb_smORF404_3119255_3119551_-	Uncharacterised protein	98	20	1.30342E-46	80.98								
true	[BLASTED]	mtb_smORF405_2971994_2972161_-	helix-turn-helix transcriptional regulator	55	16	6.34325E-9	78.34								
true	[NO-BLAST]	mtb_smORF406_2775296_2775433_-	---NA---	45											
true	[BLASTED]	mtb_smORF407_2725595_2725861_-	LysR family transcriptional regulator	88	20	3.86541E-53	97.49								
true	[NO-BLAST]	mtb_smORF408_2584922_2585122_-	---NA---	66											
true	[BLASTED]	mtb_smORF409_2581424_2581705_-	Uncharacterised protein	93	7	7.41315E-61	98.7								
true	[BLASTED]	mtb_smORF410_2580038_2580253_-	excalibur calcium-binding domain-containing protein	71	12	9.09888E-28	82.16								
true	[BLASTED]	mtb_smORF411_2578853_2579137_-	DUF3761 domain-containing protein	94	20	9.44219E-35	99.38								
true	[BLASTED]	mtb_smORF412_2552120_2552311_-	Uncharacterised protein	63	2	6.23948E-35	100.0								
true	[NO-BLAST]	mtb_smORF413_2528924_2529136_-	---NA---	70											
true	[BLASTED]	mtb_smORF414_2498513_2498743_-	hypothetical protein, partial	76	1	1.1373E-23	98.44								
true	[BLASTED]	mtb_smORF415_2487413_2487706_-	Uncharacterised protein	97	7	5.97594E-62	87.93								
true	[NO-BLAST]	mtb_smORF416_2434421_2434666_-	---NA---	81											
true	[NO-BLAST]	mtb_smORF417_2402093_2402158_-	---NA---	21											
true	[BLASTED]	mtb_smORF418_2387969_2388175_-	PE family protein	68	20	4.96679E-12	99.49								
true	[BLASTED]	mtb_smORF419_2367509_2367751_-	Uncharacterised protein	80	3	1.6711E-50	99.58								
true	[BLASTED]	mtb_smORF420_2270447_2270563_-	hypothetical protein MT2083	38	1	4.69053E-17	100.0								
true	[BLASTED]	mtb_smORF421_2260325_2260489_-	Uncharacterised protein	54	2	1.48882E-8	90.12								
true	[NO-BLAST]	mtb_smORF422_2219540_2219755_-	---NA---	71											
true	[NO-BLAST]	mtb_smORF423_2150765_2151028_-	---NA---	87											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF424_2138909_2139211_-	hypothetical protein I917_13400	100	1	3.06694E-12	96.97	2	P:GO:0032259; F:GO:0008168	P:methylation; F:methyltransferase activity	EC:2.1.1	Transferring one-carbon groups			
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF425_2124830_2125042_-	bacterioferritin-associated ferredoxin	70	20	2.33712E-17	99.14	2	F:GO:0046872; F:GO:0051537	F:metal ion binding; F:2 iron, 2 sulfur cluster binding					
true	[BLASTED]	mtb_smORF426_2056256_2056546_-	Uncharacterised protein	96	2	2.20229E-63	100.0								
true	[NO-BLAST]	mtb_smORF427_2052791_2053009_-	---NA---	72											
true	[NO-BLAST]	mtb_smORF428_2038835_2039026_-	---NA---	63											
true	[NO-BLAST]	mtb_smORF429_1999790_2000089_-	---NA---	99											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF430_1712057_1712257_-	Uncharacterised protein	66	15	6.66494E-39	98.27	1	F:GO:0016746	F:acyltransferase activity	EC:2.3	Acyltransferases			
true	[NO-BLAST]	mtb_smORF431_1697837_1698013_-	---NA---	58											
true	[BLASTED]	mtb_smORF432_1535510_1535788_-	hypothetical protein	92	1	1.8528E-38	100.0								
true	[BLASTED]	mtb_smORF433_1518452_1518706_-	predicted protein	84	10	1.07871E-54	100.0								
true	[BLASTED]	mtb_smORF434_1473134_1473394_-	Uncharacterised protein	86	20	1.7238E-51	90.78								
true	[NO-BLAST]	mtb_smORF435_1222898_1223077_-	---NA---	59											
true	[BLASTED]	mtb_smORF436_1176011_1176265_-	Mobile element protein	84	20	3.24543E-55	98.58								
true	[NO-BLAST]	mtb_smORF437_1113575_1113838_-	---NA---	87											
true	[NO-BLAST]	mtb_smORF438_1101443_1101733_-	---NA---	96											
true	[BLASTED]	mtb_smORF439_1096526_1096720_-	PE-PGRS family protein	64	18	6.4105E-39	97.47								
true	[NO-BLAST]	mtb_smORF440_1034606_1034788_-	---NA---	60											
true	[BLASTED]	mtb_smORF441_986900_987136_-	hypothetical protein BN9982_40019	78	1	8.12437E-50	100.0								
true	[BLASTED]	mtb_smORF442_980207_980344_-	Protein of uncharacterised function (DUF3071)	45	3	2.61165E-22	89.81								
true	[BLASTED]	mtb_smORF443_947390_947593_-	Uncharacterised protein	67	7	2.36325E-39	97.19								
true	[NO-BLAST]	mtb_smORF444_937730_938020_-	---NA---	96											
true	[NO-BLAST]	mtb_smORF445_803327_803581_-	---NA---	84											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF446_799976_800272_-	putative transcriptional regulator	98	6	4.33408E-24	86.79	5	P:GO:0006355; P:GO:0046689; F:GO:0003677; F:GO:0003700; F:GO:0045340	P:regulation of DNA-templated transcription; P:response to mercury ion; F:DNA binding; F:DNA-binding transcription factor activity; F:mercury ion binding					
true	[NO-BLAST]	mtb_smORF447_703220_703450_-	---NA---	76											
true	[NO-BLAST]	mtb_smORF448_559658_559957_-	---NA---	99											
true	[BLASTED]	mtb_smORF449_528311_528562_-	Uncharacterised protein	83	1	2.71023E-49	100.0								
true	[BLASTED]	mtb_smORF450_476264_476458_-	Uncharacterised protein	64	20	6.77248E-39	97.73								
true	[NO-BLAST]	mtb_smORF451_351803_352075_-	---NA---	90											
true	[NO-BLAST]	mtb_smORF452_272894_273187_-	---NA---	97											
true	[NO-BLAST]	mtb_smORF453_260732_261022_-	---NA---	96											
true	[BLASTED]	mtb_smORF454_78896_79141_-	Uncharacterised protein	81	3	3.18252E-50	100.0								
true	[NO-BLAST]	mtb_smORF455_13610_13903_-	---NA---	97											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF456_11123_11341_-	tyrosine-type recombinase/integrase	72	20	7.34068E-46	86.12	3	P:GO:0006310; P:GO:0015074; F:GO:0003677	P:DNA recombination; P:DNA integration; F:DNA binding					
true	[BLASTED]	mtb_smORF457_4405207_4405494_-	hypothetical protein MT4035.1	95	10	2.45371E-62	91.97								
true	[BLASTED]	mtb_smORF458_4340077_4340364_-	Uncharacterised protein	95	2	5.16067E-52	100.0								
true	[BLASTED]	mtb_smORF459_4336096_4336377_-	Uncharacterised protein	93	11	3.47367E-59	81.6								
true	[BLASTED]	mtb_smORF460_4316593_4316793_-	Uncharacterised protein	66	4	3.31509E-27	96.21								
true	[BLASTED]	mtb_smORF461_4291459_4291614_-	hypothetical protein TBHG_04180	51	1	3.07749E-16	100.0								
true	[BLASTED]	mtb_smORF462_4285720_4285974_-	Uncharacterised protein	84	1	5.40671E-43	100.0								
true	[BLASTED]	mtb_smORF463_4198756_4199004_-	Uncharacterised protein	82	13	4.58864E-50	93.05								
true	[BLASTED]	mtb_smORF464_4093393_4093536_-	conserved hypothetical protein	47	6	2.14672E-25	100.0								
true	[NO-BLAST]	mtb_smORF465_4062340_4062528_-	---NA---	62											
true	[BLASTED]	mtb_smORF466_3892516_3892767_-	hypothetical protein MRGA327_21430	83	1	8.29276E-19	97.62								
true	[NO-BLAST]	mtb_smORF467_3875782_3875988_-	---NA---	68											
true	[BLASTED]	mtb_smORF468_3874927_3875052_-	Uncharacterised protein	41	1	4.08135E-21	100.0								
true	[BLASTED]	mtb_smORF469_3849226_3849330_-	Uncharacterised protein	34	4	4.97078E-14	96.43								
true	[BLASTED]	mtb_smORF470_3846682_3846957_-	hypothetical protein, partial	91	20	1.63924E-46	93.9								
true	[BLASTED]	mtb_smORF471_3842716_3842853_-	Uncharacterised protein	45	10	1.3857E-20	93.85								
true	[NO-BLAST]	mtb_smORF472_3703972_3704127_-	---NA---	51											
true	[BLASTED]	mtb_smORF473_3500908_3501093_-	Uncharacterised protein	61	7	2.42296E-35	99.53								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF474_3494317_3494424_-	Conserved protein of uncharacterised function%2C possible transposase remnant	35	20	3.0676E-15	94.29	2	P:GO:0015074; F:GO:0003676	P:DNA integration; F:nucleic acid binding					
true	[BLASTED]	mtb_smORF475_3483844_3484065_-	Uncharacterised protein	73	2	1.64969E-10	89.16								
